InsumoLabor,Alias,TipoInsumo,Unidad,PrincipioActivo(Observacion)
STARANE XTRA,,AGR HERBICIDA ( - ),L,FLUROXIPIR 48%
STINGER,,AGR FUNGICIDA ( - ),L,PICOXYSTROBIN 20% + CIPROCONAZOLE 8%
SULFATO DE AMONIO,,AGR COADYUVANTE ( - ),L,SULFATO DE AMONIO
SULFENTRAZONE 50,10600600-SULFENTRAZONE,AGR HERBICIDA ( - ),L,SULFENTRAZONE 50%
SUMISOYA,,AGR HERBICIDA ( - ),L,FLUMIOXAZIN 48%
TEXARO,,AGR HERBICIDA ( - ),K,"DICLOSULAM 58% + HALAUXIFEN 11,5%"
TIMEROL PLUS (ENGEO),,AGR INSECTICIDA ( - ),L,
TORDON,,AGR HERBICIDA ( - ),L,"PICLORAM SAL POTASICA 27,7%"
TRANSFORM,,AGR INSECTICIDA ( - ),K,SULFOXAFLOR 50
VIRANTRA,,AGR INSECTICIDA ( - ),L,ISOCYCLOSERAM 40
WR4 CORRECTOR,,AGR COADYUVANTE ( - ),L,WR4 CORRECTOR
YAMATO,,AGR HERBICIDA ( - ),L,PYROXASULFONE 85
ZIDUA PACK,10603900-ZIDUA PACK,AGR HERBICIDA ( - ),PACK,ZIDUA PACK
COAD METILADO SILICONADO,,AGR COADYUVANTE ( - ),L,
PINXIT (GEN.AXIAL),522-PINXIT PINOXADEN,AGR HERBICIDA ( - ),L,"PINOXADEN 5% + CLOQUINTOCET 1,25% (genérico de Axial — agrupar con 22:AXIAL)"
EUDOR CLETODIM HELM X 20 LTS,,AGR HERBICIDA ( - ),L,"CLETODIM 24% (agrupar con 31:CLETODIM 24 — confirmar concentración con Betiana antes de sumarlo)"
VIOVAN,,AGR HERBICIDA ( - ),L,"PENDIENTE — producto nuevo (OT 761 y 765, dosis 0,75 L/ha en cebada). No inferir el principio activo por el nombre: pedir ficha técnica a Betiana."
LONTREL,,AGR HERBICIDA ( - ),L,"CLOPIRALID (OT 763, dosis 0,18 L/ha en maíz) — confirmar concentración y sal antes de agruparlo con 33:CLOPIRALID 36"
